 ,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,10/27/1982,68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4,Happy,0.740333333,Pop Chill
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,4/16/2007,43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Happy,0.459666667,Chill
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,11/6/2006,60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,Sad,0.200333333,Lofi
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,8/21/1984,2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy,0.497,Chill
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/1/2004,60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4,Happy,0.598666667,Pop Chill
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,7/31/2020,27,129410,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6,5,Sad,0.2045,Lofi
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,8/7/2020,29,141888,0.504,0.994,0.0584,0.956,0.115,0.553,-20.461,0.0516,134.209,5,4,Sad,0.3718,Chill
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,12/28/2009,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,Happy,0.700333333,Hard Rock
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,10/24/2000,68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4,Happy,0.656,Hard Rock
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,5/15/2007,0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Happy,0.502,Pop Chill
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,11/9/2018,55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Sad,0.393933333,Chill
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,1/17/2020,52,182000,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,4,Happy,0.467333333,Chill
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,3/21/2018,53,158117,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,4,Sad,0.254533333,Lofi
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,7/29/2016,38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Happy,0.766666667,Hard Rock
