name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,10/27/1982,0.7727272727272727,0.7316469029058227,0.866,0.137,0.73,0.0,0.0843,0.625,0.195178256937503,0.0767,0.5438082128928653,0.45454545454545453,0.8,Happy,0.740333333,0
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,4/16/2007,0.48863636363636365,0.6150011671132563,0.381,0.0189,0.832,0.196,0.153,0.166,0.1206387738588224,0.0492,0.5517549896765314,0.7272727272727273,0.8,Happy,0.459666667,1
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,11/6/2006,0.6818181818181818,0.4204424227342088,0.346,0.913,0.139,7.73e-05,0.0934,0.116,0.3647484411442715,0.0321,0.6247671484285388,0.0,0.8,Sad,0.200333333,2
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,8/21/1984,0.022727272727272728,0.44948328713108127,0.466,0.089,0.438,5.62e-06,0.113,0.587,0.3060117092674568,0.0608,0.8859830236292728,0.36363636363636365,0.8,Happy,0.497,1
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/1/2004,0.6818181818181818,0.5170022358417588,0.419,0.00171,0.932,0.0,0.137,0.445,0.08577276405350089,0.106,0.7794494150034412,0.09090909090909091,0.8,Happy,0.598666667,0
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,7/31/2020,0.3068181818181818,0.2496464900756791,0.394,0.995,0.0475,0.955,0.105,0.172,0.6290637345899376,0.072,0.3268685478320716,0.5454545454545454,1.0,Sad,0.2045,2
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,8/7/2020,0.32954545454545453,0.27371795984744574,0.504,0.994,0.0584,0.956,0.115,0.553,0.4869579703936408,0.0516,0.6157788483597155,0.45454545454545453,0.8,Sad,0.3718,1
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,12/28/2009,0.011363636363636364,0.40737654160228254,0.586,0.000155,0.935,0.277,0.159,0.58,0.22338045599504971,0.0482,0.5276301904106446,0.36363636363636365,0.8,Happy,0.700333333,3
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,10/24/2000,0.7727272727272727,0.35619139114112813,0.603,0.0144,0.908,0.0,0.671,0.457,0.12504164881717358,0.184,0.6105207616425785,1.0,0.8,Happy,0.656,3
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,5/15/2007,0.0,0.3649881456017192,0.331,0.00344,0.876,0.000835,0.732,0.299,0.04507591984387643,0.0603,0.8029777471897224,0.45454545454545453,0.8,Happy,0.502,0
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,11/9/2018,0.625,0.3803998279231364,0.349,0.000877,0.793,0.431,0.22,0.0398,0.16059783902137179,0.0677,0.5833402156457903,0.9090909090909091,0.8,Sad,0.393933333,1
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,1/17/2020,0.5909090909090909,0.3510985332955227,0.532,0.974,0.541,0.864,0.228,0.329,0.2839735351516017,0.0283,0.6242853865565496,0.0,0.8,Happy,0.467333333,1
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,3/21/2018,0.6022727272727273,0.30502553180817676,0.382,0.497,0.333,0.918,0.106,0.0486,0.3706268741967728,0.0367,0.3898784124799266,0.6363636363636364,0.8,Sad,0.254533333,2
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,7/29/2016,0.4318181818181818,0.43536218128644816,0.543,0.000168,0.991,1.31e-05,0.374,0.766,0.06616212099576371,0.0668,0.6883734801559992,0.8181818181818182,0.8,Happy,0.766666667,3
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,4/8/1982,0.9545454545454546,0.570810979738528,0.671,0.257,0.373,7.95e-05,0.0481,0.732,0.429910990527869,0.0323,0.425404909382886,0.8181818181818182,0.8,Happy,0.592,0
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,8/3/2020,0.2727272727272727,0.22498278266807878,0.456,0.993,0.0337,0.948,0.126,0.3,0.6394878385453854,0.0334,0.4459692590043588,0.0,0.8,Sad,0.263233333,2
